# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
     316 7.792e-06 2.107e-05 8.985e-06 1.708e-06
     398 1.112e-05 1.206e-05 1.145e-05 2.230e-07
     501 1.421e-05 2.010e-05 1.482e-05 1.068e-06
     631 1.892e-05 2.668e-05 1.989e-05 1.657e-06
     794 2.492e-05 3.407e-05 2.591e-05 1.446e-06
    1000 3.124e-05 4.491e-05 3.345e-05 3.137e-06
    1259 4.118e-05 5.473e-05 4.212e-05 1.957e-06
    1585 5.322e-05 7.049e-05 5.437e-05 2.458e-06
    1995 6.813e-05 7.842e-05 6.903e-05 8.675e-07
    2512 8.928e-05 1.203e-04 9.161e-05 4.283e-06
    3162 1.182e-04 1.491e-04 1.201e-04 3.609e-06
    3981 1.511e-04 1.805e-04 1.532e-04 3.264e-06
    5012 1.962e-04 2.097e-04 1.981e-04 1.484e-06
    6310 2.571e-04 2.824e-04 2.620e-04 2.508e-06
    7943 3.277e-04 3.785e-04 3.354e-04 5.544e-06
   10000 4.234e-04 4.835e-04 4.327e-04 6.548e-06
   12589 5.572e-04 6.291e-04 5.753e-04 1.367e-05
   15849 6.936e-04 7.827e-04 7.226e-04 2.106e-05
   19953 8.892e-04 9.776e-04 9.141e-04 2.206e-05
   25119 1.177e-03 1.300e-03 1.221e-03 3.111e-05
#------- --------- --------- --------- ---------


# heap_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.880e-07 5.710e-07 5.248e-07 1.954e-08
      13 5.630e-07 6.550e-07 6.053e-07 2.101e-08
      16 6.100e-07 7.470e-07 6.629e-07 3.171e-08
      20 7.420e-07 8.480e-07 7.910e-07 2.553e-08
      25 8.820e-07 1.022e-06 9.468e-07 3.291e-08
      32 1.085e-06 1.321e-06 1.165e-06 4.300e-08
      40 1.372e-06 1.981e-06 1.554e-06 1.484e-07
      50 1.621e-06 1.902e-06 1.737e-06 6.545e-08
      63 2.213e-06 2.442e-06 2.319e-06 5.241e-08
      79 2.818e-06 3.080e-06 2.949e-06 6.259e-08
     100 3.696e-06 4.115e-06 3.848e-06 8.100e-08
     126 4.833e-06 6.732e-06 5.413e-06 5.936e-07
     158 6.268e-06 8.961e-06 6.549e-06 4.508e-07
     200 8.264e-06 8.766e-06 8.493e-06 1.123e-07
