# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
     398 1.748e-05 2.449e-05 1.836e-05 1.415e-06
     501 2.232e-05 2.920e-05 2.306e-05 9.876e-07
     631 2.984e-05 3.765e-05 3.071e-05 1.232e-06
     794 3.937e-05 5.348e-05 4.070e-05 2.492e-06
    1000 5.047e-05 6.134e-05 5.144e-05 1.126e-06
    1259 6.669e-05 7.134e-05 6.760e-05 5.748e-07
    1585 8.813e-05 9.446e-05 8.926e-05 7.730e-07
    1995 1.127e-04 1.193e-04 1.140e-04 9.369e-07
    2512 1.477e-04 2.026e-04 1.531e-04 1.181e-05
    3162 1.954e-04 2.044e-04 1.975e-04 1.552e-06
    3981 2.500e-04 2.585e-04 2.521e-04 1.367e-06
    5012 3.249e-04 3.332e-04 3.273e-04 1.526e-06
    6310 4.300e-04 4.388e-04 4.328e-04 1.661e-06
    7943 5.496e-04 5.922e-04 5.555e-04 7.985e-06
   10000 7.087e-04 7.194e-04 7.128e-04 2.269e-06
   12589 9.378e-04 9.508e-04 9.422e-04 2.488e-06
   15849 1.197e-03 1.213e-03 1.202e-03 3.123e-06
#------- --------- --------- --------- ---------


# heap_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 8.250e-07 9.430e-07 8.755e-07 2.563e-08
      13 9.320e-07 1.060e-06 9.940e-07 3.008e-08
      16 1.050e-06 1.197e-06 1.123e-06 3.400e-08
      20 1.222e-06 1.391e-06 1.302e-06 3.958e-08
      25 1.453e-06 1.743e-06 1.564e-06 5.865e-08
      32 1.821e-06 2.048e-06 1.927e-06 5.362e-08
      40 2.246e-06 2.850e-06 2.407e-06 1.189e-07
      50 2.846e-06 4.097e-06 3.319e-06 3.601e-07
      63 3.574e-06 3.968e-06 3.756e-06 8.906e-08
      79 4.573e-06 4.986e-06 4.781e-06 9.773e-08
     100 5.957e-06 6.429e-06 6.188e-06 1.162e-07
     126 7.835e-06 1.037e-05 8.397e-06 6.140e-07
     158 1.013e-05 1.077e-05 1.044e-05 1.503e-07
     200 1.334e-05 1.417e-05 1.373e-05 1.865e-07
     251 1.740e-05 2.167e-05 1.806e-05 7.392e-07
     316 2.260e-05 2.716e-05 2.325e-05 7.156e-07
     398 2.951e-05 3.679e-05 3.059e-05 1.439e-06
     501 3.867e-05 4.521e-05 3.956e-05 1.010e-06
     631 5.017e-05 5.672e-05 5.111e-05 8.896e-07
     794 6.530e-05 7.316e-05 6.635e-05 1.045e-06
    1000 8.526e-05 9.081e-05 8.637e-05 8.110e-07
    1259 1.105e-04 1.138e-04 1.117e-04 6.174e-07
    1585 1.433e-04 1.471e-04 1.447e-04 7.543e-07
    1995 1.861e-04 1.909e-04 1.878e-04 9.018e-07
    2512 2.407e-04 2.454e-04 2.426e-04 1.022e-06
    3162 3.115e-04 3.201e-04 3.136e-04 1.451e-06
    3981 4.034e-04 4.196e-04 4.062e-04 2.060e-06
    5012 5.208e-04 5.308e-04 5.237e-04 1.803e-06
    6310 6.726e-04 6.867e-04 6.765e-04 2.591e-06
    7943 8.704e-04 8.943e-04 8.747e-04 3.139e-06
   10000 1.125e-03 1.137e-03 1.129e-03 2.652e-06
#------- --------- --------- --------- ---------


# rank_sort
#      n  min time  max time  avg time   std dev
